,AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous
0,dog,fever,diarrhea,vomiting,weight loss,dehydration,Yes
1,dog,fever,diarrhea,coughing,tiredness,pains,Yes
2,dog,fever,diarrhea,coughing,vomiting,anorexia,Yes
3,dog,fever,difficulty in breathing,coughing,lethargy,sneezing,Yes
4,dog,fever,diarrhea,coughing,lethargy,blue eye,Yes
5,dog,fever,respiratory distress,seizuers,hyperesthesia,sudden death,Yes
6,dog,ulcers,diarrhea,poor appetite,tarry stool,enlarged lymph nodes,Yes
7,dog,facial swelling,bloody drool,foul breath,unable to eat,lossened teeth,Yes
8,dog,fever,difficulty in breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,Yes
9,dog,swelling on leg,painfull,nasal discharge,broken bones,nasal discharge,Yes
10,dog,short term lethargy,loss of  appetite,weekness in the back legs,rapid heart rate,week pulse,Yes
11,dog,swollen lymph nodes,difficulty in walking,back pain,lethargy,vaginal discharge,Yes
12,dog,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression,Yes
13,dog,fever,loss of  appetite,reduce energy,lameness,swelling of joints,Yes
14,dog,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,Yes
15,dog,fever,swelling of face or leg,poor appetite,depression,pains,Yes
16,dog,diarrhea with muscus,tensemus,watery stool,flatulence,pains,Yes
17,dog,strong cough,runny nose,sneezing,lethargy,loss of appettite,Yes
18,dog,fever,inflammed eye,coughing,depression,limping,Yes
19,dog,fever,difficulty in breathing,coughing,eye and skin change,unable to exercise,Yes
20,dog,fever,loss of  appetite,coughing,lethargy,joint pain,Yes
21,dog,lesions in the nasal cavity,lesions on nose,nose bleeds,noisy breathing,lesions on nose,Yes
22,dog,hair loss,dandruff,darkened skin,crusting of the skin,ulcerated skin,Yes
23,dog,greenish yellow nasal discharge,lack of pigmentation,sneezing,lethargy,pain on face,Yes
24,dog,fever,diarrhea,poor appetite,weight loss,vomitting,Yes
25,dog,jaundice,pneumonia,lession on the skin,pain,vomitting,Yes
26,dog,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,Yes
27,dog,watering,no appp,vomiting,lethargy,dehydration,Yes
28,dog,straining,diarrhea,vomiting,weight loss,blindness,Yes
29,dog,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,Yes
30,dog,upset stomach,diarrhea,coughing,weight loss,anaemia,Yes
31,dog,allergic reaction,poor appetite,coughing,weight loss,distended chest,Yes
32,dog,fever,anoxeria,weight loss,lethargy,pain,Yes
33,dog,limping,willnot run to jump,swelling,week legs,pain on leg,Yes
34,cat,fever,eye ulcer,congestion,depression,pink eye,Yes
35,cat,pnemonia,loss of  appetite,eye disharge,lameness,arthritis,Yes
36,cat,fever,seizures,hydrophobia,jaw is dropped,shyness or aggression,Yes
37,cat,bloody urine,difficulty in breathing,vomiting,weight loss,anorexia,Yes
38,cat,loss of eat,difficulty in breathing,swelling,lameness,neurologic abnormalities,Yes
39,cat,dark or black face,diarrhea,vomiting,blood in faces,pain,Yes
40,cat,jaundice,difficulty in breathing,seizuers,lethargy,pale gums,Yes
41,cat,appetite varies,diarrhea,vomiting,weight loss,pain,Yes
42,cat,loss of eat,fell unwell,lethargy,weight loss,skin issue,Yes
43,cat,sickness,loss of  appetite,vomiting,weight loss,raised growth or bump,Yes
44,cat,nasal bleeding,diffulty chewing,swelling,weight loss,anorexia,Yes
45,cat,ulcers,lesions,scabs,lumps,bumps black grey or red ,Yes
46,cat,gasc,loss of  appetite,blood in stool,stomach growling,black stool,Yes
47,cat,shaking head,scartching ear,black on ear,bad smell,red and inflammation ear,Yes
48,cat,attacks,loss of  appetite,coughing,weight loss,periodic vommiting,Yes
49,cat,blood stool,diarrhea,coughing,weight loss,anemia,Yes
50,cat,nasal discharge,nosebleeds,inflamed nostrils,sneezing,lound breathing,Yes
51,cat,polyuria,loss of  appetite,vomiting,weight loss,polydipsa,Yes
52,cat,exessive urination,change in gait,vomiting,weight loss,inability to jump,Yes
53,cat,convulsion,loss of consciousness,chewing,twitching,salivating,Yes
54,cat,wheezing,rapid breathing,coughing,swallowing,effort to breath,Yes
55,cat,jaundice,weekness,lethargy,weight loss,anorexia,Yes
56,cat,lession on cat skin,dandruff in cat coat,red patches,hair loss,skin issue,Yes
57,cat,lethargy,diarrhea,vomiting,discharge from eye,anorexia,Yes
58,cat,skin irritation,scartching,lethargy,hair loss,excessive grooming,Yes
59,cat,floopy muscle,speech delay,intellectual disability,walking problem,eye movements,Yes
60,cat,sensitivity to bright light,disharge from affected eye,inflammation,clouded cornea,rubbing eye,Yes
61,cat,fever,diarrhea,vomiting,cramps,dehydration,Yes
62,cat,tenderness,erythema,swelling,scartch,pain,Yes
63,cat,fever,diarrhea,vomiting,salivation,decrease appetite,Yes
64,cat,scaly patches of skin,sore,scabs,scartch,hair loss,Yes
65,cat,fatty stool,diarrhea,vomiting,weight loss,pain,Yes
66,cat,nausea,loss of appetite,vomiting,firm,distended stomach,Yes
67,cat,fever,swelling  in the bite area,lethargy,limp,pain,Yes
68,cat,fever,loss of appetite,eyeproblem,liver disease,nuerological,Yes
69,cat,fever,mild sneezing,coughing,nasal,ocular discharge,Yes
70,rabbit,most often none,sneezing,nasal discharge,dyspnea,pain,Yes
71,rabbit,fever,diarrhea,vomiting,blood from mouth,shock,Yes
72,rabbit,discomfort,diarrhea,dry or dull hair,grinding teeth,pain,Yes
73,rabbit,loss of appetite,swelling,nasal discharge,blindness,lethargy,Yes
74,rabbit,rhinitis,pneumonia,abscessess,torticollis,septicemia,Yes
75,rabbit,fever,diarrhea,enteritis,weight loss,stomach  cramps,Yes
76,rabbit,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities,Yes
77,rabbit,fever,pox lession on skin,skin reashes,nasal discharge,mortality varies,Yes
78,rabbit,red on affected area,horny growth,wart like growth,red skin,lesions on ear,Yes
79,rabbit,fever,chills,skin ulcer,exhaustion,swollen and painfull,Yes
80,rabbit,watering diarrhea,depression,emaciation,ruffled coat,lethargy,Yes
81,cow,weight loss,emaciation,loss of appetite,weakness,diarrhoea,Yes
82,chicken,loss of appetite,diarrhea,swollen purple wattle,swollen comb,lameness,Yes
83,chicken,loss of appetite,diarrhea,ruffled feathers,weight loss,inability to absorb nutrients,Yes
84,chicken,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,Yes
85,chicken,loss of appetite,thirst,ruffled feathers,closed eyes,diarrhea,Yes
86,cow,fever,weakened legs,los of the ability to walk,mammary glads,fluif filled blisters,Yes
87,cow,fever,weakened legs,los of the ability to walk,weight loss,lameness,Yes
88,cattle,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs,Yes
89,mammal,swollen,red colored,hot udder,milk getting out more watery,milk getting out more thick,Yes
90,cattle,fever,distress,trembling,staggering,convulsion,Yes
91,cattle,fever,animal become lame,prostrat,painfull swalling,lameness,Yes
92,cattle,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,Yes
93,cattle,fluif faeces on blood and muscle,sudden death,blooody fluid,red diarrhea,faeces are streake with blood,Yes
94,cattle,fever,pneumonia,stand with head droping,weight loss,abnormal behaviour,Yes
95,cattle,fever,slightly swollen,lession on the skin,milky hard,papules appear on teats anad udder,Yes
96,cattle,fever,dull,hind quarted soil,animal stop feed,decrease in milk production,Yes
97,cattle,severe,diarrhea,blood on faces,appetite,milk reduce,Yes
98,cattle,fever,depression,relunctance to move,salivation,nasal discharge,Yes
99,cattle,normal appetite,diarrhea,swelling may occur under jaw,weight loss,drop in milk production,Yes
100,cattle,swelling on leg,heat,hardness,redness,pain,Yes
101,cattle,inability to stand,diarrhea,bottle jaw,pot belly,dry hair coat,Yes
102,cattle,excitability,nervousness,loss of appetite,hyper sensitivity,weakness,Yes
103,cattle,fever,depression,attack,bite other animals,pain,Yes
104,cattle,fever,difficulty in breathing,coughing,painfull,eye become dull,Yes
105,cattle,fever,ulcer on gum,red eye,yellowish discharge,bloody diarrhea,Yes
106,cattle,fever,diarrhea,coughing,consistency of milk,pain,Yes
107,cattle,animal gets uneasy,difficulty in breathing,difficult in respiration,excessive production,stamping and pedding of hind eye,Yes
108,horse,fever,chills,severe colic,weakness,anorexia,Yes
109,horse,fever,body stiffness,lethargy,severe inflammation,pain,Yes
110,horse,sickness,diarrhea,weight loss,nausea,dehydration,Yes
111,horse,sudden death,trouble walking,paralysis,depression,convulsion,Yes
112,horse,fever,abortion,kidney failure,inflammation of eye,eye redness,Yes
113,horse,small red bumps,pneumonia,septic arthritis,skin infection,pain,Yes
114,horse,fever,ataxia,aggressiveness,depression,obscure lameness,Yes
115,horse,ring shaped lesion,round patches,dry skin,size of lesions vary,pain,Yes
116,horse,fever,diarrhea,loss of appetite,colic,weakness,Yes
117,horse,fever,depression,loss of appetite,stumbling,ataxia,Yes
118,turtle,bubbles in the mouth,wheezing,loss of appetite,lethargy,nasal discharge,Yes
119,turtle,changes in outer layer skin,swelling of eye,loss of appetite,lethargy,respiratory infection,Yes
120,turtle,red tinge,slim over the shell,bad smell,easily damage shell,flaking of the scutes,Yes
121,turtle,passing of undigested food,diarrhea,vomiting,gas or bloating,dehydration,Yes
122,hamster,smell,diarrhea,loss of appetite,excess sleeping,folded ears,Yes
123,hamster,loss of activity,rough coat,loss of appetite,weight loss,eventually death,Yes
124,hamster,fever,diarrhea,vomiting,dehydration,pain,Yes
125,hamster,bald patches,hair loss,crusty,flaky,red lesion from bald patches,Yes
126,hamster,poor condition,enlarged lymph nodes,diarrhea,weight loss,pain,Yes
127,hamster,fever,chills,coughing,progressive weakness,joint pain,Yes
128,hamster,heavy infection,diarrhea,vitamin and minerals defiency,weight loss,pain,Yes
129,lion,fever,diarrhea,muscle weakness,muscle pain,abdonormal discomfort,Yes
130,lion,fever,chills,headache,nausea,pain,Yes
131,lion,thicked skin,hair tining,hair loss,scabbing,itchiness,Yes
132,lion,facial edema,loss of earing,vomiting,head ache,throat and ear pain,Yes
133,lion,general malaise,hepatic failure,vomiting,weight loss,abdonormal pain,Yes
134,lion,upset stomach,loss of appetite,nause,weight loss,abdonormal pain,Yes
135,lion,fever,muscle loss,skeleten pain,weight loss,wasting,Yes
136,lion,oedema,swelling of face or leg,swelling of neck,weight loss,pain,Yes
137,lion,poor growth,short stature,enlargement of bones,lameness,weigth bearing long bones,Yes
138,lion,fever,chills,sweat,head ache,fatique,Yes
139,lion,fever,loss of appetite,weakness,weight loss,vomitting,Yes
140,lion,dullness,lacrimation,coughing,diarrhea,seizures,Yes
141,lion,vomiting,bloody diarrhea,lethargy,dehydration,anorexia,Yes
142,lion,fever,uncharacteristic hiding,depression,dehydration,stopped eat,Yes
143,lion,fever,poor coat condition,infection of the skin,weight loss,fatique,Yes
144,lion,weakness,stiffness,trembling,white mark on the muscle,loss of vitamin e,Yes
145,fox,partial paralysis,staggering as drunk,self mutilation,acting aggressive,acting unnaturally tame,Yes
146,fox,fever,tiredness,headache,skin rashes,pain,Yes
147,fox,thick crusting,itchiness,hair loss,watery eye,pain,Yes
148,fox,constant pacing,facial muscle twitching,abnormalalities,blindness,muscle pain,Yes
149,fox,loss of appetite,wheezing,seizuers,skin rashes,fatique,Yes
150,fox,indigestion,abdominal pain,constipation,diarrhea,nausea,Yes
151,fox,blood in urine,diarrhea,vomiting,lethargy,bleeding in eye and skin,Yes
152,goat,fever,malaise,weakness,weight loss,pain,Yes
153,goat,fever,diarrhea,vomiting,stomach cramps,nausea,Yes
154,goat,fever,lack of coordination,depression,salivation,facial paralysis,Yes
155,goat,sores on lip,infection,sores on lower leg and teats,lesion,pain,Yes
156,goat,abortion on late pregancy,stillbirth,retained placenda,endomeritis,decrease appetite,Yes
157,goat,paresis,paralysis,weakness,stomach cramps,diarrhea,Yes
158,goat,fever,diarrhea,swelling,weight loss,pain,Yes
159,goat,fever,hemolytic anemia,hemoglobinuria,pulmonary congestion,jaundice,Yes
160,goat,abortion,mummification,stillbirth,weak kids,pain,Yes
161,goat,runny nose,difficulty in breathing,coughing,weakness,loss of appettite,Yes
162,goat,fever,nasal discharge,respiratory distress,pox lesion,pain,Yes
163,goat,fever,dark colored bloody,incoordination,difficulty in breathing,terminal convulsion,Yes
164,goat,fever,dysentery,swelling,immediate death,pain,Yes
165,goat,fever,respiratory distress,mucous discharge,reduce feed,weight gain,Yes
166,goat,decreased milk,holding limbs off the ground,weight loss,lameness,wool production,Yes
167,goat,swelling of udder,change in milk,swollen,tender to touch,pain,Yes
168,goat,fever,respiratory distress,occular discharge,mouth lesion,nasal discharge,Yes
169,goat,fever,wound lesion,excess salivary,difficult in walking,pain,Yes
170,goat,emaciation,edema in lower jaw,coughing,shivering,anemia,Yes
171,goat,fever,reduce growth,kid moratality,weakness,dullness,Yes
172,goat,fever,reduce growth,edema in lower jaw,weight loss,anemia,Yes
173,goat,emaciation,diarrhea,kid moratality,weakness,anemia,Yes
174,goat,skinallergy,reduce growth,wound,head ache,dizziness,Yes
175,goat,watering of eyes,redness of white of the eye,swelling of eyelid,cornea become cloudy,tear production,Yes
176,goat,berberi,wasting,nervous,weight loss,anorexia,Yes
177,goat,gastritis,morbidity,bloody,mortality,anemia,Yes
178,deer,fever,severe headache,vomiting,coughing,fatique,Yes
179,deer,fever,tiredness,swollen kidney,hematuria,muscle aches,Yes
180,deer,fever,diarrhea,decreased appetite,vomiting,bloody,Yes
181,deer,gas,diarrhea,abdominal discomfort,vomiting,nausea,Yes
182,deer,drooping ears,lack of coordination,drooling,wasting,listlessness,Yes
183,chicken,edema,diarrhea,nasal discharge,decresed egg production,sneezing,Yes
184,chicken,drooping wings,depression,nasal discharge,coughing,greenish diarrhea,No
185,chicken,weakness,yellow or green dropping,purplish combs,wattles,drop on egg production,No
186,chicken,neck paralysis,diarrhea,ruffled feathers,labored breathing,weakness,No
187,chicken,facial swelling,lacrimation,diarrhea,anorexia,nasal discharge,No
188,chicken,loss of appetite,depression,paralyzed leg,weight loss,anemia,No
189,chicken,dejection,loss of appetite,slow growth,diarrhea,lesion,No
190,chicken,severe swellimg,heavy breathing,diarrhea,weight loss,pain,No
191,chicken,weakness,diarrhea,high moratality,dehydration,anorexia,No
192,monkey,fever,hepatitis,skin rashes,weight loss,pain,No
193,monkey,sneezing,epistaxis,coughing,difficulty in breathing,nasal discharge,No
194,monkey,sneezing,unilateral nasal discharge,gagging,retching,weight loss,Yes
195,monkey,fever,depression,coughing,weight loss,anorexia,Yes
196,monkey,shallow breathing,halitosis,coughing,lethargy,nasal discharge,Yes
197,monkey,dyspnea,sneezing,coughing,difficulty in breathing,infection,Yes
198,monkey,dyspnea,sneezing,coughing,difficulty in breathing,pain,Yes
199,monkey,fever,rhinorrhea,coughing,sneezing,dehydration,Yes
200,monkey,fever,rhinorrhea,coughing,facial edema,dyspnea,Yes
201,monkey,fever,rhinorrhea,coughing,sneezing,nasal discharge,Yes
202,monkey,mortality,painfull,coughing,weight loss,nasal discharge,Yes
203,monkey,skin rashes,diarrhea,death,facial edema,pain,Yes
204,monkey,fever,dyspnea,coughing,lethargy,weightloss,Yes
205,monkey,fever,dyspnea,coughing,weakness,anorexia,Yes
206,monkey,facial edema,dyspnea,conjuctivtis,weakness,pharyngitis,Yes
207,monkey,fever,pneumonia,congestion,lethargy,nasal discharge,Yes
208,monkey,fever,death,coughing,weight loss,nasal discharge,Yes
209,monkey,sneezing,convulsion,seizuers,weight loss,nasal discharge,Yes
210,monkey,fever,death,coughing,dyspnea,anorexia,Yes
211,monkey,dyspnea,difficulty in breathing,coughing,lethargy,nasal discharge,Yes
212,monkey,air sacculitis,halitosis,coughing,enteritis,weight loss,Yes
213,monkey,fever,convulsion,sudden death,urine retention,weight loss,Yes
214,monkey,dyspnea,neurologic sign,coughing,depression,anorexia,Yes
215,monkey,fever,dyspnea,coughing,lethargy,anorexia,Yes
216,monkey,labored breathing,dyspnea,coughing,depression,anorexia,Yes
217,monkey,blood from mouth,diarrhea,coughing,lethargy,weight loss,Yes
218,monkey,hemopytsis,diarrhea,asymptomatic,death,epistaxis,Yes
219,monkey,restlessness,weakness,blue straws,death,pain,Yes
220,birds,stripped remiges,less feather growth,ruffled feathers,defienciency in vitamin,diarrhea,Yes
221,birds,apathy,depression,dilation of duodenum,cloacal pasting,congestion,Yes
222,birds,lepatomegaly,splenomegaly,vomiting,swollen,shaking oh head,Yes
223,birds,balance problem,abdominal destention,neck paralysis,weight loss,pains,Yes
224,birds,legness,paresis,coughing,weight loss,shortness of breath,Yes
225,birds,fever,sour throat,mortality,muscle aches,abnormalities,Yes
226,birds,difficulty in feeding,preening,weakness,beak overgrowth,anemia,Yes
227,birds,fever,loss of appetite,ear infection,depression,nasal discharge,Yes
228,birds,forthy eye,torticollis,weakness,swelling,emaciation,Yes
229,birds,inappentence,diarrhea,tremors of the head,dehydration,weight loss,Yes
230,birds,lack of walking,lack of flying,roughened,dehydration,pains,Yes
231,birds,skin rashes,small and yellow bumps,swelling,dry scabs,lameness,Yes
232,birds,scabs on feet,redness,trachea,thickening of skin,pains,Yes
233,birds,enlarged thymus,obstructed lungs,lethargy,skin rashes,weight loss,Yes
234,birds,fluffed feather,loss of appetite,coughing,vomiting,snoring,Yes
235,birds,fever,difficulty in breathing,yellow eye,sneezing,diphtherictic,Yes
236,birds,heavy breathing,yellow in beak,tail_bobbing,weakness,sleeping excessively,Yes
237,birds,puffed_up feather,less eat,headache,half closed eye,seizures,Yes
238,birds,fever,diarrhea,swollen abdomen,vomiting,difficulty in breathing,Yes
239,birds,tail wagging,straining,lethargy,weakness,diarrhea,Yes
240,birds,overweight,loss of appetite,ruffled feathers,depression,diarrhea,Yes
241,birds,dejection,loss of appetite,stress,coughing,pains,Yes
242,birds,skin infection,secondary infection,coughing,depression,shaking oh head,Yes
243,birds,discharge from eyes,lethargy,coughing,sneezing,fatique,Yes
244,birds,fever,chills,retarded growth,chest pain,chest pain,Yes
245,birds,pale comb,lame,death,swolling of joint,eye closed,Yes
246,birds,lethargy,loss of appetite,difficulty in swallowing,weakness,vision problem,Yes
247,birds,emaciation,difficulty in breathing,vomiting,weakness,diarrhea,Yes
248,birds,liquid dropping,exhaustion,ataxia,lethargy,seizures,Yes
249,birds,undigested in their feces,loss of appetite,loss of pigment,weakness,bloody in feather,Yes
250,birds,sharp feather,clubbed feather,eye disharge,loss of powder down,diarrhea,Yes
251,birds,ruffled appearance,loss of appetite,vomiting,green dropping,nasal discharge,Yes
252,birds,sinuses,swollen eyelids,skin rashes,sneezing,misshapen beak,Yes
253,birds,feather loss,feather plucking,coughing,itching,nasal discharge,Yes
254,birds,watery eyes,eye closed,weight loss,sneezing,nervous issue,Yes
255,birds,bony lesion,skin rashes,ataxia,anorexia,weakness,Yes
256,birds,tremor of head and neck,blindness,kicking at the belly,exercise in tolerance,pains,Yes
257,sheep,swollen belly,dullness,discharge,urination,lying down,Yes
258,sheep,fever,dullness,depression,weight loss,anorexia,Yes
259,sheep,fever,succumb,spread of infection,weight loss,anorexia,Yes
260,sheep,signs in rams,signs in ewe,underdeveloped muscles,semen examination,reduce lamp marking,Yes
261,sheep,spines,unusally thin,weakness,enlarged skulls,weakness,Yes
262,sheep,discharge,sudden abortion,hemoglobinuria,death of lamb,weight loss,Yes
263,sheep,fever,hemolytic anemia,sweats,congestion,jaundice,Yes
264,sheep,fever,tiredness,loss of appetite,muscle aches,chest pain,Yes
265,sheep,excess salivation,diarrhea,depression,nasal discharge,weakness,Yes
266,sheep,fever,diarrhea,incoordination,abortion,blood poisioning,Yes
267,sheep,fever,wasting,dehydration,deability,weakness,Yes
268,sheep,fever,diarrhea,muscle twiching,lameness,weight loss,Yes
269,sheep,teeth griding,apathy,dehydration,ruminal stasis,watery faeces,nan
270,sheep,fever,depression,lying down,weak pulse,colic,Yes
271,sheep,swelling,lameness,hyperaestesia,hock joint,weight loss,Yes
272,sheep,head tilt,circling,muscles ache,blindness,seizures,Yes
273,sheep,decreased growth of bone,depression,grunting,lameness,weight loss,Yes
274,sheep,swollen left abdomen,lying down,staggering,urination,extension of neck,Yes
275,sheep,cessation of eructation,difficulty in breathing,depression,anorexia,colic,Yes
276,sheep,fever,excession salivation,abnormal conformation,ulcerated muscle,ulcerated ear,Yes
277,sheep,barren ewes,abortion,poor conformation,hairy fleeces,weight loss,Yes
278,sheep,tremor,viability,coughing,anorexia,weight loss,Yes
279,sheep,fever,tachypea,swelling of head and neck,anorexia,nasal discharge,Yes
280,sheep,lllthrift,skin lesion,lameness,swelling on thebody,weight loss,Yes
281,sheep,swelling,heat,flank,pain,nasal discharge,Yes
282,sheep,fever,loss of appetite,lameness,rump,weight loss,Yes
283,sheep,fever,swelling,loss of appetite,anorexia,weight loss,Yes
284,sheep,fever,diarrhea,bloody droping,abdominal discomfort,lethargy,Yes
285,sheep,fever,depression,small intestines,death,flock moratality,Yes
286,sheep,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,Yes
287,sheep,bloody diarhhea,depression,dullness,death,weakness,Yes
288,sheep,reluctant move,loss of appetite,lameness,death,weakness,Yes
289,sheep,fever,depression,loss of appetite,loss of appetite,pains,Yes
290,sheep,fever,difficulty in breathing,lethargy,death,pains,Yes
291,sheep,poor wool,loss of appetite,lameness,small size,poor body condition,Yes
292,sheep,poor immune function,achomotrica,dehydration,death,pains,Yes
293,sheep,abdominal pain,diarrhea,malpresentation,shock,anorexia,Yes
294,sheep,fetopelvic dispropotion,uteria inertia,despression,death,pains,Yes
295,sheep,watery diarrhea dispropotion,sick,corneal ulceration,loss of appetite,death,Yes
296,sheep,severe kerititis,conjunctive,discharge,iris prolapse,loss of eye,Yes
297,sheep,swollen,testical pain,itches,bloody discharge,tenderness,Yes
